"Part";"Value";"Device";"Package";"Description";"CIRCUIT_CATEGORY";"MFG1";"MFG1_PN";"PART_NUMBER";"REVISION";"TITLE";
"C1";"";"CAPACITOR_10";"C5MM";"";"";"";"";"";"";"";
"C2";"";"CAPACITORTHD";"C050-024X044";"";"";"";"";"";"";"";
"C3";"";"CAPACITORTHD";"C050-024X044";"";"";"";"";"";"";"";
"C4";"";"CAPACITORTHD";"C050-024X044";"";"";"";"";"";"";"";
"C5";"";"CAPACITOR_10";"C5MM";"";"";"";"";"";"";"";
"C6";"";"CAPACITORTHD";"C050-024X044";"";"";"";"";"";"";"";
"C7";"";"CAPACITORTHD";"C050-024X044";"";"";"";"";"";"";"";
"J1";"JUMPER";"PINS_2";"PINS_2";"";"";"";"";"";"";"";
"P1";"";"MINIPCB_5P5P";"PINS_1X5";"";"";"";"";"";"";"";
"R1";"";"RESISTOR10MM";"0207/10";"";"";"";"";"";"";"";
"R2";"";"TRIMPOT0.100THD";"TRIM_0100";"SMT trimmer potentiometer part number TC33X";"";"";"";"";"";"";
"R3";"";"RESISTOR10MM";"0207/10";"";"";"";"";"";"";"";
"R4";"";"RESISTOR10MM";"0207/10";"";"";"";"";"";"";"";
"R5";"";"RESISTOR10MM";"0207/10";"";"";"";"";"";"";"";
"R6";"";"RESISTOR10MM";"0207/10";"";"";"";"";"";"";"";
"R7";"";"RESISTOR10MM";"0207/10";"";"";"";"";"";"";"";
"R8";"";"TRIMPOT0.100THD";"TRIM_0100";"SMT trimmer potentiometer part number TC33X";"";"";"";"";"";"";
"R9";"";"RESISTOR10MM";"0207/10";"";"";"";"";"";"";"";
"TP1";"";"TESTPOINTKE5000-SMTEXT";"PINS_1_TESTPOINT_KE5000_NOTEXT";"";"";"";"";"";"";"";
"TP2";"";"TESTPOINTKE5000-SMTEXT";"PINS_1_TESTPOINT_KE5000_NOTEXT";"";"";"";"";"";"";"";
"TP3";"";"TESTPOINTKE5000-SMTEXT";"PINS_1_TESTPOINT_KE5000_NOTEXT";"";"";"";"";"";"";"";
"TP4";"";"TESTPOINTKE5000-SMTEXT";"PINS_1_TESTPOINT_KE5000_NOTEXT";"";"";"";"";"";"";"";
"TP5";"";"TESTPOINTKE5000-SMTEXT";"PINS_1_TESTPOINT_KE5000_NOTEXT";"";"";"";"";"";"";"";
"TP6";"";"TESTPOINTKE5000-SMTEXT";"PINS_1_TESTPOINT_KE5000_NOTEXT";"";"";"";"";"";"";"";
"TP7";"";"TESTPOINTKE5000-SMTEXT";"PINS_1_TESTPOINT_KE5000_NOTEXT";"";"";"";"";"";"";"";
"TP8";"";"TESTPOINTKE5000-SMTEXT";"PINS_1_TESTPOINT_KE5000_NOTEXT";"";"";"";"";"";"";"";
"TP9";"";"TESTPOINTKE5000-SMTEXT";"PINS_1_TESTPOINT_KE5000_NOTEXT";"";"";"";"";"";"";"";
"TP10";"";"TESTPOINTKE5000-SMTEXT";"PINS_1_TESTPOINT_KE5000_NOTEXT";"";"";"";"";"";"";"";
"U$1";"MINIPCB_50X50";"MINIPCB_50X50";"MINIPCB_0P_50X50MM";"";"04A, OPERATIONAL AMPLIFIER";"";"";"04A-005";"A1-01";"INVERTING AMPLIFIER";
"U1";"";"OPAMP_DUALTHD";"DIL08";"OP AMP";"";"";"";"";"";"";
